Episode 315:	Step: 70	Reward: -59.0
Episode 316:	Step: 62	Reward: -51.0
Episode 317:	Step: 66	Reward: -55.0
Episode 318:	Step: 72	Reward: -61.0
Episode 319:	Step: 37	Reward: -26.0
Episode 320:	Step: 78	Reward: -67.0
Test after Episode 320:	Average Step: 10000.0	Average Reward: -10000.0
Episode 321:	Step: 7	Reward: 4.0
Episode 322:	Step: 4	Reward: 7.0
Episode 323:	Step: 47	Reward: -36.0
Episode 324:	Step: 55	Reward: -44.0
Episode 325:	Step: 96	Reward: -85.0
Episode 326:	Step: 62	Reward: -51.0
Episode 327:	Step: 61	Reward: -50.0
Episode 328:	Step: 29	Reward: -18.0
Episode 329:	Step: 34	Reward: -23.0
Episode 330:	Step: 77	Reward: -66.0
Episode 331:	Step: 81	Reward: -70.0
Episode 332:	Step: 104	Reward: -93.0
Episode 333:	Step: 111	Reward: -100.0
Episode 334:	Step: 87	Reward: -76.0
Episode 335:	Step: 59	Reward: -48.0
Episode 336:	Step: 47	Reward: -36.0
Episode 337:	Step: 47	Reward: -36.0
Episode 338:	Step: 85	Reward: -74.0
Episode 339:	Step: 18	Reward: -7.0
Episode 340:	Step: 63	Reward: -52.0
Test after Episode 340:	Average Step: 10000.0	Average Reward: -10000.0
Episode 341:	Step: 68	Reward: -57.0
Episode 342:	Step: 78	Reward: -67.0
Episode 343:	Step: 87	Reward: -76.0
Episode 344:	Step: 48	Reward: -37.0
Episode 345:	Step: 81	Reward: -70.0
Episode 346:	Step: 39	Reward: -28.0
Episode 347:	Step: 124	Reward: -113.0
Episode 348:	Step: 7	Reward: 4.0
Episode 349:	Step: 17	Reward: -6.0
Episode 350:	Step: 77	Reward: -66.0
Episode 351:	Step: 44	Reward: -33.0
Episode 352:	Step: 19	Reward: -8.0
Episode 353:	Step: 82	Reward: -80.0
Episode 354:	Step: 55	Reward: -44.0
Episode 355:	Step: 68	Reward: -57.0
Episode 356:	Step: 48	Reward: -37.0
Episode 357:	Step: 26	Reward: -24.0
Episode 358:	Step: 17	Reward: -6.0
Episode 359:	Step: 48	Reward: -37.0
Episode 360:	Step: 5	Reward: 6.0
Test after Episode 360:	Average Step: 10000.0	Average Reward: -10000.0
Episode 361:	Step: 79	Reward: -68.0
Episode 362:	Step: 66	Reward: -55.0
Episode 363:	Step: 85	Reward: -74.0
Episode 364:	Step: 39	Reward: -28.0
Episode 365:	Step: 64	Reward: -53.0
Episode 366:	Step: 2	Reward: 9.0
Episode 367:	Step: 16	Reward: -5.0
Episode 368:	Step: 2	Reward: 9.0
Episode 369:	Step: 68	Reward: -57.0
Episode 370:	Step: 84	Reward: -73.0
Episode 371:	Step: 32	Reward: -21.0
Episode 372:	Step: 178	Reward: -167.0
Episode 373:	Step: 25	Reward: -14.0
Episode 374:	Step: 139	Reward: -128.0
Episode 375:	Step: 40	Reward: -29.0
Episode 376:	Step: 66	Reward: -55.0
Episode 377:	Step: 36	Reward: -25.0
Episode 378:	Step: 66	Reward: -55.0
Episode 379:	Step: 69	Reward: -58.0
Episode 380:	Step: 68	Reward: -57.0
Test after Episode 380:	Average Step: 10000.0	Average Reward: -10000.0
Episode 381:	Step: 59	Reward: -48.0
Episode 382:	Step: 74	Reward: -63.0
Episode 383:	Step: 78	Reward: -67.0
Episode 384:	Step: 33	Reward: -22.0
Episode 385:	Step: 31	Reward: -20.0
Episode 386:	Step: 4	Reward: 7.0
Episode 387:	Step: 51	Reward: -40.0
Episode 388:	Step: 35	Reward: -24.0
Episode 389:	Step: 37	Reward: -26.0
Episode 390:	Step: 115	Reward: -104.0
Episode 391:	Step: 64	Reward: -53.0
Episode 392:	Step: 76	Reward: -65.0
Episode 393:	Step: 71	Reward: -60.0
Episode 394:	Step: 64	Reward: -53.0
Episode 395:	Step: 103	Reward: -92.0
Episode 396:	Step: 11	Reward: 0.0
Episode 397:	Step: 11	Reward: 0.0
Episode 398:	Step: 41	Reward: -39.0
Episode 399:	Step: 45	Reward: -34.0
Episode 400:	Step: 165	Reward: -163.0
Test after Episode 400:	Average Step: 10000.0	Average Reward: -10000.0
Episode 401:	Step: 28	Reward: -17.0
Episode 402:	Step: 54	Reward: -43.0
Episode 403:	Step: 62	Reward: -51.0
Episode 404:	Step: 76	Reward: -65.0
Episode 405:	Step: 57	Reward: -46.0
Episode 406:	Step: 55	Reward: -44.0
Episode 407:	Step: 91	Reward: -80.0
Episode 408:	Step: 18	Reward: -7.0
Episode 409:	Step: 33	Reward: -22.0
Episode 410:	Step: 27	Reward: -16.0
Episode 411:	Step: 100	Reward: -89.0
Episode 412:	Step: 10	Reward: 1.0
Episode 413:	Step: 70	Reward: -59.0
Episode 414:	Step: 29	Reward: -18.0
Episode 415:	Step: 40	Reward: -29.0
Episode 416:	Step: 45	Reward: -34.0
Episode 417:	Step: 19	Reward: -8.0
Episode 418:	Step: 115	Reward: -104.0
Episode 419:	Step: 41	Reward: -30.0
Episode 420:	Step: 20	Reward: -9.0
Test after Episode 420:	Average Step: 10000.0	Average Reward: -10000.0
Episode 421:	Step: 23	Reward: -12.0
Episode 422:	Step: 19	Reward: -8.0
Episode 423:	Step: 63	Reward: -52.0
Episode 424:	Step: 46	Reward: -35.0
Episode 425:	Step: 84	Reward: -82.0
Episode 426:	Step: 5	Reward: 6.0
Episode 427:	Step: 55	Reward: -44.0
Episode 428:	Step: 33	Reward: -22.0
Episode 429:	Step: 60	Reward: -49.0
Episode 430:	Step: 145	Reward: -134.0
Episode 431:	Step: 115	Reward: -104.0
Episode 432:	Step: 23	Reward: -12.0
Episode 433:	Step: 2	Reward: 9.0
Episode 434:	Step: 11	Reward: 0.0
Episode 435:	Step: 30	Reward: -19.0
Episode 436:	Step: 44	Reward: -33.0
Episode 437:	Step: 64	Reward: -53.0
Episode 438:	Step: 108	Reward: -97.0
Episode 439:	Step: 3	Reward: 8.0
Episode 440:	Step: 76	Reward: -65.0
Test after Episode 440:	Average Step: 10000.0	Average Reward: -10000.0
Episode 441:	Step: 41	Reward: -30.0
Episode 442:	Step: 16	Reward: -5.0
Episode 443:	Step: 42	Reward: -31.0
Episode 444:	Step: 27	Reward: -16.0
Episode 445:	Step: 64	Reward: -53.0
Episode 446:	Step: 9	Reward: 2.0
Episode 447:	Step: 54	Reward: -43.0
Episode 448:	Step: 63	Reward: -52.0
Episode 449:	Step: 29	Reward: -18.0
Episode 450:	Step: 23	Reward: -12.0
Episode 451:	Step: 32	Reward: -21.0
Episode 452:	Step: 9	Reward: 2.0
Episode 453:	Step: 95	Reward: -84.0
Episode 454:	Step: 63	Reward: -52.0
Episode 455:	Step: 103	Reward: -92.0
Episode 456:	Step: 43	Reward: -32.0
Episode 457:	Step: 142	Reward: -131.0
Episode 458:	Step: 96	Reward: -85.0
Episode 459:	Step: 147	Reward: -136.0
Episode 460:	Step: 7	Reward: 4.0
Test after Episode 460:	Average Step: 10000.0	Average Reward: -10000.0
Episode 461:	Step: 31	Reward: -20.0
Episode 462:	Step: 32	Reward: -21.0
Episode 463:	Step: 74	Reward: -63.0
Episode 464:	Step: 42	Reward: -31.0
Episode 465:	Step: 50	Reward: -39.0
Episode 466:	Step: 54	Reward: -43.0
Episode 467:	Step: 78	Reward: -67.0
Episode 468:	Step: 132	Reward: -130.0
Episode 469:	Step: 18	Reward: -7.0
Episode 470:	Step: 20	Reward: -9.0
Episode 471:	Step: 15	Reward: -4.0
Episode 472:	Step: 51	Reward: -40.0
Episode 473:	Step: 33	Reward: -22.0
Episode 474:	Step: 50	Reward: -39.0
Episode 475:	Step: 93	Reward: -82.0
Episode 476:	Step: 40	Reward: -29.0
Episode 477:	Step: 29	Reward: -18.0
Episode 478:	Step: 52	Reward: -41.0
Episode 479:	Step: 42	Reward: -31.0
Episode 480:	Step: 79	Reward: -68.0
Test after Episode 480:	Average Step: 10000.0	Average Reward: -10000.0
Episode 481:	Step: 57	Reward: -46.0
Episode 482:	Step: 30	Reward: -19.0
Episode 483:	Step: 28	Reward: -17.0
Episode 484:	Step: 4	Reward: 7.0
Episode 485:	Step: 66	Reward: -55.0
Episode 486:	Step: 109	Reward: -98.0
Episode 487:	Step: 62	Reward: -51.0
Episode 488:	Step: 46	Reward: -35.0
Episode 489:	Step: 21	Reward: -10.0
Episode 490:	Step: 68	Reward: -57.0
Episode 491:	Step: 16	Reward: -5.0
Episode 492:	Step: 29	Reward: -18.0
Episode 493:	Step: 4	Reward: 7.0
Episode 494:	Step: 16	Reward: -5.0
Episode 495:	Step: 11	Reward: 0.0
Episode 496:	Step: 53	Reward: -42.0
Episode 497:	Step: 13	Reward: -2.0
Episode 498:	Step: 54	Reward: -43.0
Episode 499:	Step: 68	Reward: -57.0
Episode 500:	Step: 29	Reward: -18.0
Test after Episode 500:	Average Step: 10000.0	Average Reward: -10000.0
Episode 501:	Step: 38	Reward: -27.0
Episode 502:	Step: 17	Reward: -6.0
Episode 503:	Step: 27	Reward: -16.0
Episode 504:	Step: 27	Reward: -16.0
Episode 505:	Step: 47	Reward: -36.0
Episode 506:	Step: 22	Reward: -11.0
Episode 507:	Step: 7	Reward: 4.0
Episode 508:	Step: 21	Reward: -10.0
Episode 509:	Step: 50	Reward: -39.0
Episode 510:	Step: 67	Reward: -56.0
Episode 511:	Step: 72	Reward: -61.0
Episode 512:	Step: 85	Reward: -74.0
Episode 513:	Step: 53	Reward: -42.0
Episode 514:	Step: 58	Reward: -47.0
Episode 515:	Step: 39	Reward: -28.0
Episode 516:	Step: 48	Reward: -37.0
Episode 517:	Step: 72	Reward: -70.0
Episode 518:	Step: 84	Reward: -73.0
Episode 519:	Step: 53	Reward: -42.0
Episode 520:	Step: 49	Reward: -38.0
Test after Episode 520:	Average Step: 10000.0	Average Reward: -10000.0
Episode 521:	Step: 54	Reward: -43.0
Episode 522:	Step: 58	Reward: -47.0
Episode 523:	Step: 31	Reward: -20.0
Episode 524:	Step: 73	Reward: -62.0
Episode 525:	Step: 12	Reward: -1.0
